ticket_key,snapshot_id,event_id,game,tip_et,player,market,recommended_side,point,tier,selected_book,selected_price_american,play_to_american,model_p_hit,best_ev,actual_stat_value,result,graded_price_american,stake_units,pnl_units,graded_at_utc,grading_notes
3e63853bb34c5667,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Day'Ron Sharpe,player_points,over,14.5,A,draftkings,-103,-199,0.6859637193331224,0.351948,,,,,,,
fbb79af02f4bfc56,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Nolan Traore,player_assists,over,5.5,A,fanduel,130,-131,0.5838509505703422,0.342857,,,,,,,
4c77f3825d4cfb0c,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Drake Powell,player_points_rebounds_assists,over,11.5,A,draftkings,101,-184,0.6674409448818898,0.341556,,,,,,,
18c538113330d1a9,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Kelly Oubre Jr,player_points_rebounds_assists,over,24.5,A,draftkings,-104,-196,0.6819965080750764,0.337762,,,,,,,
8cf5d11c7ec634fe,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Onyeka Okongwu,player_points_rebounds_assists,over,24.5,A,fanduel,-102,-190,0.6754235739339118,0.337604,,,,,,,
16973f56531f858f,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Danny Wolf,player_points,over,14.5,A,fanduel,100,-185,0.6686842105263158,0.337368,,,,,,,
262f1cbe56a0d664,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Jay Huff,player_points,over,13.5,A,fanduel,102,-179,0.6611694313318922,0.335562,,,,,,,
1e7d5f7603b19762,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Day'Ron Sharpe,player_assists,over,3.5,A,fanduel,130,-128,0.5778903276375608,0.329148,,,,,,,
a6e18a0958efdf2b,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Egor Demin,player_points,over,12.5,A,draftkings,-108,-203,0.6896245807172959,0.328166,,,,,,,
36f0aaea6c0e6d33,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Nolan Traore,player_points,over,12.5,B,draftkings,-103,-179,0.6732356355194429,0.326862,,,,,,,
6d0e92867bf9a370,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Egor Demin,player_points_rebounds_assists,over,19.5,A,draftkings,-115,-221,0.7093932683790964,0.326257,,,,,,,
7d260ff53fd4bf04,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Nolan Traore,player_threes,over,1.5,A,draftkings,152,-104,0.5251662610847598,0.323419,,,,,,,
2ad5e04544855b56,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Zaccharie Risacher,player_threes,over,1.5,A,fanduel,162,104,0.5050776699029127,0.323303,,,,,,,
c29ff8e9c1f8d32f,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Drake Powell,player_points,over,6.5,A,draftkings,-119,-228,0.7157877461706783,0.31729,,,,,,,
23a650e775979405,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Dominick Barlow,player_points_rebounds_assists,over,14.5,B,draftkings,-104,-177,0.6707751837789805,0.315751,,,,,,,
ab43f791946208ac,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Dominick Barlow,player_points,over,8.5,B,draftkings,107,-153,0.634621023342093,0.313666,,,,,,,
1cd755c3579cc86c,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Kelly Oubre Jr,player_threes,over,2.5,B,fanduel,148,-102,0.5291291397625495,0.31224,,,,,,,
bef6681e59fbc6b8,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Jarace Walker,player_threes,over,2.5,A,draftkings,141,-112,0.5442667413841413,0.311683,,,,,,,
93b9b214dfdf7e67,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Jarrett Allen,player_points_rebounds_assists,over,28.5,A,fanduel,-104,-185,0.6685000000000001,0.311288,,,,,,,
